# Reproduction command (with lincs version 1.1.0): lincs generate classified-alternatives problem.yml model.yml 2500 --random-seed 867960298 --misclassified-count 0
name,"Criterion 1","Criterion 2","Criterion 3","Criterion 4","Criterion 5",category
"Alternative 49",0.923888505,0.223139212,0.546925843,0.452944875,0.263796151,"Intermediate category 1"
"Alternative 50",0.641802311,0.933903098,0.865778387,0.693792284,0.976145327,"Intermediate category 3"
"Alternative 51",0.128862754,0.124116167,0.657433748,0.139954582,0.188506961,"Worst category"
"Alternative 52",0.398527354,0.822494924,0.535920799,0.886577427,0.70638448,"Intermediate category 2"
"Alternative 53",0.547088921,0.905429184,0.822928488,0.756751597,0.756827176,"Intermediate category 3"
"Alternative 54",0.877882481,0.108859695,0.265741527,0.480465025,0.524753332,"Worst category"
"Alternative 55",0.628210068,0.118459158,0.546123326,0.746901631,0.971333623,"Worst category"
"Alternative 56",0.174662068,0.784783959,0.115390323,0.953176379,0.855428338,"Intermediate category 2"
"Alternative 57",0.447711408,0.555067599,0.244117483,0.175131261,0.0341245346,"Worst category"
"Alternative 58",0.918467999,0.886387646,0.315953672,0.893020749,0.463181198,"Intermediate category 3"
"Alternative 59",0.432250977,0.164567202,0.331993312,0.720461488,0.315187246,"Worst category"
"Alternative 60",0.722047567,0.720837772,0.125856251,0.281488836,0.434289932,"Worst category"
"Alternative 61",0.0539882332,0.00798535347,0.798289418,0.396352142,0.706760049,"Worst category"
"Alternative 62",0.460785329,0.0197476633,0.686225533,0.821747482,0.541955411,"Worst category"
"Alternative 63",0.695439279,0.235669464,0.0107463626,0.657125115,0.975965559,"Intermediate category 1"
"Alternative 64",0.268229872,0.778687,0.311031431,0.104567125,0.810644269,"Intermediate category 2"
"Alternative 65",0.703123987,0.979680121,0.942358673,0.262722015,0.272755206,"Intermediate category 3"
"Alternative 66",0.720377207,0.369567394,0.193468645,0.802352607,0.245606557,"Intermediate category 2"
"Alternative 67",0.459398478,0.412687987,0.325560123,0.349062473,0.572868705,"Intermediate category 1"
"Alternative 68",0.697535038,0.0887633413,0.668750226,0.774706304,0.802296698,"Worst category"
"Alternative 69",0.651382923,0.609412968,0.0840220079,0.566254854,0.711502552,"Intermediate category 2"
"Alternative 70",0.302888811,0.667142689,0.68224287,0.376601279,0.895218015,"Intermediate category 2"
"Alternative 71",0.797815263,0.990233481,0.497348785,0.0667359009,0.549366474,"Intermediate category 1"
"Alternative 72",0.758431315,0.973613083,0.210664168,0.000298863975,0.930255473,"Intermediate category 3"
"Alternative 73",0.243406281,0.674818397,0.0640733168,0.94673878,0.162328929,"Worst category"
"Alternative 74",0.310913533,0.819501102,0.512550533,0.789573729,0.69902575,"Intermediate category 2"
"Alternative 75",0.652454317,0.696151555,0.541224658,0.536280096,0.208454192,"Intermediate category 2"
"Alternative 76",0.546874285,0.728039443,0.727736652,0.903396547,0.424383312,"Intermediate category 2"
"Alternative 77",0.0551129133,0.505170107,0.0188137554,0.741241753,0.887110054,"Intermediate category 2"
"Alternative 78",0.0687526464,0.226276442,0.993183494,0.439720482,0.672318518,"Intermediate category 1"
"Alternative 79",0.27476719,0.48820278,0.389786392,0.033664424,0.18192412,"Intermediate category 1"
"Alternative 80",0.311995476,0.828717887,0.953172326,0.232539728,0.425626606,"Intermediate category 3"
"Alternative 81",0.0757608786,0.90905571,0.628303587,0.756203473,0.929435015,"Intermediate category 3"
"Alternative 82",0.460076928,0.384875149,0.00266752555,0.624054134,0.693246543,"Intermediate category 2"
"Alternative 83",0.338407665,0.913361847,0.488827407,0.467599392,0.192299575,"Intermediate category 1"
"Alternative 84",0.392372847,0.00943785906,0.375461489,0.210046336,0.916310549,"Worst category"
"Alternative 85",0.813198447,0.164194599,0.530937552,0.481341749,0.207519233,"Worst category"
"Alternative 86",0.905576229,0.297148764,0.847415268,0.269715995,0.186437637,"Intermediate category 1"
"Alternative 87",0.926956058,0.996837914,0.0127275605,0.12166968,0.00866581593,"Worst category"
"Alternative 88",0.387371987,0.921817303,0.90293467,0.637051582,0.525079668,"Intermediate category 3"
"Alternative 89",0.835964739,0.132356286,0.575900793,0.944927812,0.00946619082,"Worst category"
"Alternative 90",0.938086092,0.0255614966,0.8812567,0.640705049,0.690494001,"Worst category"
"Alternative 91",0.0958513021,0.607231855,0.8724612,0.524669826,0.577290595,"Intermediate category 2"
"Alternative 92",0.124921829,0.611390352,0.0154194534,0.482870013,0.0380319096,"Worst category"
"Alternative 93",0.562630773,0.687665522,0.859485388,0.794809282,0.969359934,"Intermediate category 2"
"Alternative 94",0.189026028,0.00882298872,0.806598485,0.661730051,0.968467116,"Worst category"
"Alternative 95",0.138111368,0.645530105,0.160609692,0.493608296,0.0311548747,"Worst category"
"Alternative 96",0.308832437,0.367596388,0.274472833,0.465193152,0.838021576,"Intermediate category 2"
"Alternative 97",0.8818084,0.14424859,0.865551889,0.717023492,0.537136614,"Worst category"
"Alternative 98",0.313900828,0.924801648,0.88033998,0.766196191,0.439806581,"Intermediate category 3"
"Alternative 99",0.431838185,0.610066056,0.813148975,0.528247774,0.21829015,"Intermediate category 2"
"Alternative 100",0.561057568,0.207959756,0.597011328,0.853722095,0.633729875,"Worst category"
"Alternative 101",0.896536112,0.271765888,0.820168793,0.00670519983,0.066104047,"Intermediate category 1"
"Alternative 102",0.562890232,0.0531101562,0.220938295,0.363008052,0.0366347544,"Worst category"
"Alternative 103",0.0265494939,0.909362674,0.565200627,0.48288402,0.922162592,"Intermediate category 3"
"Alternative 104",0.379607826,0.388754457,0.630274951,0.629453957,0.344778955,"Intermediate category 2"
"Alternative 105",0.209105045,0.0727650747,0.150509149,0.62614882,0.479398817,"Worst category"
"Alternative 106",0.845608652,0.380318284,0.572507024,0.367114723,0.262250811,"Intermediate category 1"
"Alternative 107",0.775538683,0.900951803,0.033179272,0.156210586,0.727520883,"Intermediate category 2"
"Alternative 108",0.494794905,0.8885023,0.969069004,0.714261413,0.556215346,"Intermediate category 3"
"Alternative 109",0.78026402,0.648595631,0.684744,0.315465778,0.395285815,"Intermediate category 2"
"Alternative 110",0.441760063,0.987731874,0.686100721,0.652609885,0.89179343,"Intermediate category 3"
"Alternative 111",0.739164412,0.170224696,0.428908467,0.684638858,0.192761049,"Worst category"
"Alternative 112",0.290596306,0.459033042,0.150379106,0.838019848,0.597842276,"Intermediate category 1"
"Alternative 113",0.370529711,0.345500737,0.158369094,0.801421285,0.282129109,"Worst category"
"Alternative 114",0.590020001,0.388676822,0.448126495,0.425024629,0.846467555,"Intermediate category 2"
"Alternative 115",0.157606184,0.71044594,0.644266903,0.879077077,0.947293997,"Intermediate category 2"
"Alternative 116",0.697474957,0.772776842,0.848315477,0.491247088,0.184409752,"Intermediate category 2"
"Alternative 117",0.643919289,0.59951669,0.671977222,0.919086397,0.317392498,"Intermediate category 2"
"Alternative 118",0.73870033,0.876625001,0.593264341,0.157657668,0.874113977,"Intermediate category 3"
"Alternative 119",0.0412452705,0.0784260482,0.285149276,0.844524503,0.885140419,"Worst category"
"Alternative 120",0.136186764,0.763321459,0.972276807,0.310322702,0.55126363,"Intermediate category 2"
"Alternative 121",0.920941532,0.374510348,0.460609049,0.207208946,0.554790258,"Intermediate category 1"
"Alternative 122",0.767061532,0.326256335,0.763245106,0.471548408,0.839805782,"Intermediate category 2"
"Alternative 123",0.37078926,0.452761382,0.246745557,0.435422629,0.140176877,"Worst category"
"Alternative 124",0.327446848,0.862272501,0.778673708,0.246357545,0.504070282,"Intermediate category 3"
"Alternative 125",0.821018755,0.0352265909,0.787657261,0.974846363,0.449618459,"Worst category"
"Alternative 126",0.206097811,0.127225012,0.872973323,0.389734358,0.983158946,"Worst category"
"Alternative 127",0.882986605,0.223578081,0.361157477,0.756037533,0.400408417,"Intermediate category 1"
"Alternative 128",0.710399389,0.701530516,0.651072979,0.477395564,0.425634384,"Intermediate category 2"
"Alternative 129",0.18889378,0.0394366756,0.262438327,0.400006354,0.715508103,"Worst category"
"Alternative 130",0.850371063,0.621047854,0.816973031,0.446434677,0.953146696,"Intermediate category 2"
"Alternative 131",0.55562973,0.748592734,0.0435058847,0.319558293,0.50279671,"Intermediate category 1"
"Alternative 132",0.165626824,0.152624786,0.725434244,0.218768567,0.520704925,"Worst category"
"Alternative 133",0.570911407,0.0837730318,0.977531552,0.934581935,0.32850641,"Worst category"
"Alternative 134",0.162410453,0.362102658,0.412848681,0.556811571,0.918484986,"Intermediate category 2"
"Alternative 135",0.168744251,0.742993534,0.0152151342,0.676365674,0.560986876,"Intermediate category 1"
"Alternative 136",0.644519031,0.050741218,0.149902374,0.0610424392,0.265617758,"Worst category"
"Alternative 137",0.600803494,0.93118304,0.60380888,0.0858666077,0.0139725311,"Intermediate category 2"
"Alternative 138",0.295194596,0.700884402,0.626581848,0.756225765,0.84936595,"Intermediate category 2"
"Alternative 139",0.586702824,0.749790251,0.760185838,0.488799244,0.771449983,"Intermediate category 2"
"Alternative 140",0.502714753,0.833245695,0.134336829,0.124239624,0.401964188,"Worst category"
"Alternative 141",0.87188381,0.56985569,0.259644628,0.696335971,0.620367348,"Intermediate category 2"
"Alternative 142",0.179597214,0.368104666,0.459999174,0.488835752,0.821305454,"Intermediate category 2"
"Alternative 143",0.700078666,0.689566135,0.364369094,0.95949477,0.432914793,"Intermediate category 2"
"Alternative 144",0.541419446,0.467170447,0.695186079,0.533824742,0.816922188,"Intermediate category 2"
"Alternative 145",0.911506057,0.169981152,0.162665486,0.487397373,0.983162642,"Worst category"
"Alternative 146",0.845741093,0.496429622,0.175047085,0.939171314,0.252037913,"Intermediate category 2"
"Alternative 147",0.272003174,0.300728768,0.272591144,0.46540001,0.205089211,"Worst category"
"Alternative 148",0.847454488,0.404089719,0.525903106,0.670770764,0.668590307,"Intermediate category 2"
"Alternative 149",0.97739321,0.699651957,0.629908562,0.0841667801,0.487965822,"Intermediate category 2"
"Alternative 150",0.217632696,0.991659164,0.144754931,0.745868981,0.887405455,"Intermediate category 3"
"Alternative 151",0.245768219,0.0138289668,0.184196547,0.896502435,0.92827642,"Worst category"
"Alternative 152",0.410467088,0.468093663,0.356660753,0.421837538,0.196214139,"Intermediate category 1"
"Alternative 153",0.0403570645,0.122336581,0.121054478,0.795064151,0.651772857,"Worst category"
"Alternative 154",0.0554102734,0.0574074835,0.141336292,0.0468318462,0.794280171,"Worst category"
"Alternative 155",0.477458507,0.779170096,0.0136909932,0.0729950592,0.484733641,"Worst category"
"Alternative 156",0.921457946,0.437368393,0.43122071,0.619807601,0.00824663043,"Intermediate category 2"
"Alternative 157",0.352370918,0.158464551,0.457110226,0.292143971,0.593364477,"Worst category"
"Alternative 158",0.686154485,0.808326483,0.354739875,0.293532819,0.935358465,"Intermediate category 3"
"Alternative 159",0.664412856,0.264373481,0.541969419,0.598335743,0.496852428,"Intermediate category 1"
"Alternative 160",0.951273501,0.13145557,0.71074146,0.304553151,0.895349085,"Worst category"
"Alternative 161",0.628403604,0.0729499385,0.52990371,0.90851301,0.106325388,"Worst category"
"Alternative 162",0.812679589,0.998664796,0.300657153,0.157402366,0.843070388,"Intermediate category 2"
"Alternative 163",0.769569993,0.960065961,0.642885864,0.331464231,0.129359901,"Intermediate category 3"
"Alternative 164",0.339905888,0.664126098,0.0361493044,0.727777481,0.00943686534,"Worst category"
"Alternative 165",0.125192642,0.275398999,0.704350352,0.0254476313,0.550701201,"Intermediate category 1"
"Alternative 166",0.620656312,0.620477736,0.84550339,0.954656482,0.305233121,"Intermediate category 2"
"Alternative 167",0.837937176,0.324355066,0.557647943,0.795486093,0.724663258,"Intermediate category 2"
"Alternative 168",0.610992014,0.65467149,0.584223986,0.157765254,0.102468841,"Intermediate category 2"
"Alternative 169",0.407064348,0.19179213,0.111608349,0.0461771786,0.672566414,"Worst category"
"Alternative 170",0.728401899,0.594564974,0.654068172,0.954845786,0.22378251,"Intermediate category 2"
"Alternative 171",0.883201897,0.594272196,0.747165501,0.29140994,0.483435303,"Intermediate category 2"
"Alternative 172",0.0039283433,0.0781708732,0.961590052,0.680955052,0.0589623824,"Worst category"
"Alternative 173",0.923363864,0.412232131,0.498169899,0.426165432,0.813456714,"Intermediate category 2"
"Alternative 174",0.626048863,0.82585603,0.405136138,0.0628221706,0.56794709,"Intermediate category 1"
"Alternative 175",0.741482437,0.58232671,0.828960896,0.873068094,0.483654022,"Intermediate category 2"
"Alternative 176",0.790530503,0.669927716,0.895891249,0.954664946,0.374159992,"Intermediate category 2"
"Alternative 177",0.18906115,0.686883509,0.419745296,0.608338773,0.290338337,"Intermediate category 1"
"Alternative 178",0.0358150117,0.570130348,0.735697627,0.239507228,0.357793123,"Intermediate category 2"
"Alternative 179",0.475759923,0.200541601,0.281676114,0.784977555,0.801155329,"Worst category"
"Alternative 180",0.0758190528,0.158519641,0.462051809,0.871387959,0.970471263,"Worst category"
"Alternative 181",0.305420518,0.974128127,0.684409738,0.965077817,0.12698184,"Intermediate category 3"
"Alternative 182",0.0754768252,0.845424116,0.419612676,0.999087095,0.629503548,"Intermediate category 1"
"Alternative 183",0.612984955,0.163742959,0.896955192,0.210989818,0.428398252,"Worst category"
"Alternative 184",0.285525233,0.665915132,0.434954822,0.812242866,0.607337952,"Intermediate category 1"
"Alternative 185",0.11078845,0.448110431,0.472526729,0.616855145,0.889015019,"Intermediate category 2"
"Alternative 186",0.289958924,0.330302596,0.714121997,0.948518515,0.0255055223,"Intermediate category 2"
"Alternative 187",0.286254257,0.0628822073,0.935169637,0.158749983,0.382186264,"Worst category"
"Alternative 188",0.842400014,0.627002895,0.126173571,0.830392718,0.0840454102,"Intermediate category 2"
"Alternative 189",0.1887407,0.855142355,0.537675619,0.908426046,0.997091472,"Intermediate category 3"
"Alternative 190",0.224304885,0.341061264,0.762371659,0.0760022774,0.333275735,"Intermediate category 2"
"Alternative 191",0.473863631,0.626922905,0.686892986,0.578805625,0.74219346,"Intermediate category 2"
"Alternative 192",0.726067722,0.692042232,0.353952169,0.293179661,0.752215743,"Intermediate category 2"
"Alternative 193",0.605647385,0.64385736,0.490469605,0.658818245,0.686057329,"Intermediate category 2"
"Alternative 194",0.0200848617,0.977191746,0.64642036,0.645248652,0.750568151,"Intermediate category 3"
"Alternative 195",0.814999402,0.111016072,0.40851599,0.422718912,0.87067914,"Worst category"
"Alternative 196",0.637734175,0.551606417,0.726716995,0.950923502,0.041097194,"Intermediate category 2"
"Alternative 197",0.219523475,0.823374867,0.803777635,0.66159147,0.901347041,"Intermediate category 3"
"Alternative 198",0.786643147,0.206472963,0.993921638,0.818217933,0.121381171,"Worst category"
"Alternative 199",0.438320756,0.292640477,0.442156255,0.0282359924,0.106553674,"Intermediate category 1"
"Alternative 200",0.502316654,0.977218032,0.661690831,0.341008365,0.630353928,"Intermediate category 3"
"Alternative 201",0.472106069,0.592665076,0.0761591122,0.815145195,0.885797858,"Intermediate category 2"
"Alternative 202",0.484140605,0.0282963719,0.653955162,0.238981172,0.0127932243,"Worst category"
"Alternative 203",0.700466156,0.604432821,0.286936343,0.66245085,0.950811267,"Intermediate category 2"
"Alternative 204",0.85972017,0.195800841,0.0607597716,0.52475369,0.214360058,"Worst category"
"Alternative 205",0.782408059,0.432582974,0.911126912,0.950326025,0.905350864,"Intermediate category 2"
"Alternative 206",0.126336694,0.171557933,0.511164427,0.43056491,0.385419041,"Worst category"
"Alternative 207",0.448695481,0.425459713,0.277423054,0.217497513,0.744963586,"Intermediate category 2"
"Alternative 208",0.963526845,0.924859583,0.402812034,0.534380436,0.996016443,"Intermediate category 3"
"Alternative 209",0.760530233,0.870836616,0.818013191,0.118713342,0.994316399,"Intermediate category 3"
"Alternative 210",0.361057192,0.848846853,0.0676746815,0.237585351,0.545075476,"Intermediate category 1"
"Alternative 211",0.892741919,0.946333885,0.730347931,0.74850893,0.323436886,"Intermediate category 3"
"Alternative 212",0.905959547,0.744862378,0.571714044,0.62270993,0.786900997,"Intermediate category 2"
"Alternative 213",0.963312328,0.322411448,0.830554724,0.774244666,0.377973884,"Intermediate category 2"
"Alternative 214",0.877392828,0.566099942,0.981132209,0.47443518,0.688761413,"Intermediate category 2"
"Alternative 215",0.214329913,0.501075804,0.118499607,0.634611845,0.382872015,"Worst category"
"Alternative 216",0.762111247,0.88338691,0.585346699,0.0882871151,0.412349224,"Intermediate category 2"
"Alternative 217",0.0673689768,0.275295287,0.902086794,0.179840118,0.673234761,"Intermediate category 1"
"Alternative 218",0.631896317,0.765305102,0.87082535,0.452591866,0.662301779,"Intermediate category 2"
"Alternative 219",0.800972164,0.641149998,0.616837859,0.0868052542,0.418651372,"Intermediate category 2"
"Alternative 220",0.0913445726,0.0925988257,0.0123977186,0.440887839,0.628182232,"Worst category"
"Alternative 221",0.803106487,0.0965812281,0.777484655,0.376091361,0.580220282,"Worst category"
"Alternative 222",0.19542557,0.153204083,0.301428407,0.265303552,0.304191798,"Worst category"
"Alternative 223",0.124667756,0.464997083,0.512258768,0.345949709,0.717003822,"Intermediate category 2"
"Alternative 224",0.0887942687,0.0574783981,0.77327615,0.138947695,0.38699919,"Worst category"
"Alternative 225",0.871041417,0.71084547,0.555539906,0.0771200657,0.729963422,"Intermediate category 2"
"Alternative 226",0.228799894,0.264688373,0.620920479,0.406807542,0.374821335,"Intermediate category 1"
"Alternative 227",0.257774621,0.704980731,0.956089079,0.209489658,0.360425115,"Intermediate category 2"
"Alternative 228",0.309047043,0.883625746,0.799164414,0.0205991771,0.022077743,"Intermediate category 3"
"Alternative 229",0.608533323,0.800188959,0.462929517,0.420425504,0.436003268,"Intermediate category 1"
"Alternative 230",0.784870207,0.999857843,0.229565799,0.504794359,0.57333982,"Intermediate category 2"
"Alternative 231",0.599376678,0.866789877,0.296113312,0.246228531,0.52512145,"Intermediate category 1"
"Alternative 232",0.998436749,0.535027623,0.803370297,0.89768064,0.874666393,"Intermediate category 2"
"Alternative 233",0.445713669,0.0180869326,0.575288653,0.432274193,0.706816554,"Worst category"
"Alternative 234",0.00637909118,0.940760493,0.739869177,0.345786005,0.0299387444,"Intermediate category 3"
"Alternative 235",0.604602933,0.639387488,0.613913,0.842670262,0.591662526,"Intermediate category 2"
"Alternative 236",0.228707418,0.951582193,0.376477122,0.856329799,0.761858106,"Intermediate category 2"
"Alternative 237",0.550850034,0.250373453,0.169764116,0.612047195,0.123172134,"Intermediate category 1"
"Alternative 238",0.184591711,0.937368751,0.372576177,0.00414911006,0.642695069,"Intermediate category 1"
"Alternative 239",0.474625468,0.940087378,0.706090808,0.517970681,0.236748204,"Intermediate category 3"
"Alternative 240",0.679328203,0.0364836715,0.670688272,0.850859463,0.297407985,"Worst category"
"Alternative 241",0.0410829522,0.017786162,0.62950933,0.653946161,0.314662844,"Worst category"
"Alternative 242",0.395452082,0.92124033,0.207537755,0.652076304,0.929686606,"Intermediate category 3"
"Alternative 243",0.249652013,0.936258137,0.812389672,0.981489301,0.264330357,"Intermediate category 3"
"Alternative 244",0.769723833,0.159967512,0.349223316,0.548992455,0.745663464,"Worst category"
"Alternative 245",0.108943582,0.13334693,0.289089113,0.295198411,0.575507998,"Worst category"
"Alternative 246",0.358210772,0.277038217,0.497781336,0.137861699,0.993718505,"Intermediate category 1"
"Alternative 247",0.201368883,0.414341092,0.342137098,0.481482953,0.84007436,"Intermediate category 2"
"Alternative 248",0.599814355,0.00340713141,0.0859973803,0.706540763,0.377394617,"Worst category"
"Alternative 249",0.291364461,0.463772178,0.236956552,0.789422035,0.774196327,"Intermediate category 2"
"Alternative 250",0.744584858,0.26254347,0.12399336,0.100651316,0.236614287,"Worst category"
"Alternative 251",0.297763735,0.739754975,0.63850987,0.756303072,0.0194562618,"Intermediate category 2"
"Alternative 252",0.763874769,0.624817967,0.445075512,0.513457537,0.643403351,"Intermediate category 2"
"Alternative 253",0.892710745,0.131536692,0.673001528,0.218058005,0.221501827,"Worst category"
"Alternative 254",0.423915803,0.646932662,0.421953052,0.942274988,0.371660173,"Intermediate category 1"
"Alternative 255",0.394003272,0.149730206,0.326499939,0.666505158,0.822378755,"Worst category"
"Alternative 256",0.636726022,0.0633960292,0.914889216,0.272335112,0.911858439,"Worst category"
"Alternative 257",0.0576970242,0.928147137,0.88068521,0.416586697,0.165811405,"Intermediate category 3"
"Alternative 258",0.293560088,0.677482665,0.478890032,0.367796928,0.000903974287,"Intermediate category 1"
"Alternative 259",0.19301571,0.654814959,0.748610973,0.862681031,0.821586549,"Intermediate category 2"
"Alternative 260",0.191797003,0.229340941,0.909419298,0.487723082,0.525892973,"Intermediate category 1"
"Alternative 261",0.606181681,0.0105087673,0.370979875,0.603133976,0.0826899111,"Worst category"
"Alternative 262",0.0406390093,0.637871027,0.226335689,0.366689026,0.599149108,"Intermediate category 1"
"Alternative 263",0.709501207,0.136176065,0.921677291,0.473636687,0.680338323,"Worst category"
"Alternative 264",0.000228569377,0.458285242,0.706501484,0.480273098,0.629292786,"Intermediate category 2"
"Alternative 265",0.623337507,0.133371681,0.762865365,0.715194643,0.575201273,"Worst category"
"Alternative 266",0.916783333,0.0808386579,0.328962356,0.132941306,0.458620369,"Worst category"
"Alternative 267",0.412630469,0.546198964,0.790999651,0.853326559,0.277310222,"Intermediate category 2"
"Alternative 268",0.892859519,0.0864314884,0.920507669,0.904138684,0.956471384,"Worst category"
"Alternative 269",0.77458781,0.911747873,0.833688259,0.957045496,0.489524543,"Intermediate category 3"
"Alternative 270",0.353123903,0.300771773,0.512764275,0.0980049595,0.341408104,"Intermediate category 1"
"Alternative 271",0.010748256,0.424365997,0.807655036,0.815896213,0.140332282,"Intermediate category 2"
"Alternative 272",0.0171572212,0.321975946,0.700119436,0.695360601,0.0956695825,"Intermediate category 2"
"Alternative 273",0.755218923,0.932784975,0.947899044,0.547911763,0.622971117,"Intermediate category 3"
"Alternative 274",0.283122152,0.974967003,0.0123763792,0.837567151,0.866953194,"Intermediate category 3"
"Alternative 275",0.985973358,0.629728198,0.524424016,0.763099849,0.992314279,"Intermediate category 2"
"Alternative 276",0.0370318182,0.381416023,0.744127393,0.665386677,0.690105855,"Intermediate category 2"
"Alternative 277",0.917207599,0.791717231,0.43498382,0.754263997,0.128463596,"Intermediate category 3"
"Alternative 278",0.698300302,0.131287456,0.744072139,0.375450522,0.760790825,"Worst category"
"Alternative 279",0.454388946,0.284769982,0.941075444,0.509367883,0.416201144,"Intermediate category 1"
"Alternative 280",0.444613993,0.0569068752,0.347555816,0.793663859,0.609871626,"Worst category"
"Alternative 281",0.0240765475,0.848271072,0.985781491,0.531251192,0.522304416,"Intermediate category 3"
"Alternative 282",0.603333056,0.421964228,0.170212775,0.240895942,0.477027237,"Worst category"
"Alternative 283",0.692558408,0.678800523,0.894476891,0.0278058425,0.597949982,"Intermediate category 2"
"Alternative 284",0.3260822,0.882191479,0.530614614,0.737908125,0.605469346,"Intermediate category 1"
"Alternative 285",0.720365107,0.174642965,0.0691093057,0.895669937,0.765816152,"Worst category"
"Alternative 286",0.64578104,0.0140861068,0.406558007,0.138142958,0.174373955,"Worst category"
